Ablation,Factor,Config,Accuracy,Precision,Recall,Macro_F1,Weighted_F1,MAE,RMSE,QWK
A1,Model Type,Multi-Task DistilBERT,0.9086,0.9207,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
A1,Model Type,Single-Task DistilBERT,0.8539,0.812,0.8539,0.5502,0.8169,0.1986,0.5799,0.9188
A1,Model Type,Logistic Regression,0.8164,0.8518,0.8164,0.6982,0.8285,0.296,0.769,0.8454
A1,Model Type,Linear SVC,0.8457,0.8457,0.8457,0.7096,0.8448,0.2691,0.7609,0.8536
A2,Ordinal Loss,CORAL (main),0.9086,0.9207,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
A2,Ordinal Loss,CrossEntropy,0.9094,0.9184,0.9094,0.825,0.9128,0.1374,0.5082,0.9336
A3,Loss Weighting,Uncertainty (Kendall),0.9086,0.9207,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
A3,Loss Weighting,Equal Weighting,0.9086,0.9204,0.9086,0.8199,0.913,0.1283,0.4707,0.9428
A4,Cross-Task Gate,With Gate (main),0.9086,0.9207,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
A4,Cross-Task Gate,Without Gate,0.9101,0.9208,0.9101,0.8216,0.9141,0.1274,0.4716,0.9427
A5,Head Architecture,MLP Head (main),0.9086,0.9207,0.9086,0.8184,0.9131,0.127,0.4655,0.9441
A5,Head Architecture,Linear Head,0.9077,0.9204,0.9077,0.817,0.9125,0.1278,0.4661,0.9439
